name,slug,description,about,members
SOFORT,sofort,Group of people working on this tool.,Welcome to the SOFORT Interest Group.  Seems you like the tool and want to help us grow it !,
AM Python,python,AM Python group working around data science.,"Welcome to the AM Python Interest Group.  This group is all about data science, Jupyter notebooks, Pandas, Numpy, Plotly, ...",sidviny
